# Timestamp(ns) Write_Count
29977176746 0
42312088140 29099
52312094870 611630
62312123643 130704
72347161229 94167
82347196325 86501
92382680991 90689
102391504990 95075
112391505011 95161
122391510626 92161
132391581525 93786
142391589891 93986
152391701903 94298
162391743978 93194
172391745095 93557
182391781397 93666
192391803163 94559
202391881207 94098
212402736524 93390
222402761229 93486
232402782985 93886
242402794434 93649
252402827769 93904
262441760619 94274
272441761451 94314
282455089957 93776
292455091078 94103
302476174160 93812
312476191902 93735
322476196248 93473
332476250152 93486
342476265345 94172
381581050596 76643
