# WriteCount NumberOfLPNs CumulativePercentage
1 268788 43.43
2 6653 44.50
3 15904 47.07
4 25388 51.17
5 32321 56.40
6 34673 62.00
7 33466 67.40
8 31326 72.47
9 28758 77.11
10 26444 81.38
11 23944 85.25
12 20792 88.61
13 17241 91.40
14 14057 93.67
15 10815 95.42
16 8381 96.77
17 6228 97.78
18 4523 98.51
19 3137 99.01
20 2253 99.38
21 1410 99.61
22 920 99.75
23 641 99.86
24 357 99.92
25 226 99.95
26 127 99.97
27 75 99.99
28 46 99.99
29 29 100.00
30 9 100.00
31 4 100.00
32 2 100.00
34 1 100.00
35 1 100.00
