# Timestamp(ns) User_Writes GC_Writes Total_Writes
3498248853067 0 0 0
3510583764461 232792 0 232792
3520583771191 4893040 0 4893040
3530583799964 1045632 0 1045632
3540618837550 753336 169581 922917
3550618872646 692008 205060 897068
3560654357312 725512 182657 908169
3570663181311 760600 166977 927577
3580663181332 761288 163939 925227
3590663186947 737288 174242 911530
3600663257846 750288 172623 922911
3610663266212 751888 171643 923531
3620663378224 754384 168365 922749
3630663420299 745552 172630 918182
3640663421416 748456 168942 917398
3650663457718 749328 171608 920936
3660663479484 756472 168783 925255
3670663557528 752784 171850 924634
3680674412845 747120 171766 918886
3690674437550 747888 168894 916782
3700674459306 751088 168535 919623
3710674470755 749192 169230 918422
3720674504090 751232 171504 922736
3730713436940 754192 171550 925742
3740713437772 754512 168714 923226
3750726766278 750208 171584 921792
3760726767399 752824 169030 921854
3770747850481 750496 171435 921931
3780747868223 749880 168658 918538
3790747872569 747784 168778 916562
3800747926473 747888 168916 916804
3810747941666 753376 168728 922104
3849852726917 613144 139672 752816
